wavesensor;2016;6;WMO41002;20160601T0000;20160630T2300;31.86N;74.83W
wavesensor;2016;6;WMO41004;20160601T0000;20160630T2300;32.50N;79.10W
wavesensor;2016;6;WMO41008;20160601T0000;20160630T2300;31.40N;80.87W
wavesensor;2016;6;WMO41009;20160601T0000;20160630T2300;28.52N;80.19W
wavesensor;2016;6;WMO41010;20160601T0000;20160630T2300;28.90N;78.46W
wavesensor;2016;6;WMO41013;20160601T0000;20160630T2300;33.44N;77.74W
wavesensor;2016;6;WMO41025;20160601T0000;20160630T2300;35.01N;75.40W
wavesensor;2016;6;WMO41040;20160601T0000;20160630T2300;14.52N;53.02W
wavesensor;2016;6;WMO41041;20160601T0000;20160630T2300;14.33N;46.08W
wavesensor;2016;6;WMO41043;20160601T0000;20160630T2300;21.02N;64.85W
wavesensor;2016;6;WMO41044;20160601T0000;20160630T2300;21.58N;58.62W
wavesensor;2016;6;WMO41046;20160601T0000;20160630T2300;23.89N;68.36W
wavesensor;2016;6;WMO41047;20160601T0000;20160630T2300;27.52N;71.48W
wavesensor;2016;6;WMO41048;20160601T0000;20160630T2300;31.87N;69.59W
wavesensor;2016;6;WMO41049;20160601T0000;20160630T2300;27.54N;62.94W
wavesensor;2016;6;WMO42001;20160601T0000;20160630T2300;25.90N;89.67W
wavesensor;2016;6;WMO42002;20160601T0000;20160630T2300;26.09N;93.76W
wavesensor;2016;6;WMO42003;20160601T0000;20160630T2300;26.01N;85.65W
wavesensor;2016;6;WMO42012;20160601T0000;20160630T2300;30.07N;87.56W
wavesensor;2016;6;WMO42019;20160601T0000;20160630T2300;27.91N;95.35W
wavesensor;2016;6;WMO42020;20160601T0000;20160630T2300;26.97N;96.69W
wavesensor;2016;6;WMO42035;20160601T0000;20160630T2300;29.23N;94.41W
wavesensor;2016;6;WMO42036;20160601T0000;20160630T2300;28.50N;84.52W
wavesensor;2016;6;WMO42039;20160601T0000;20160630T2300;28.74N;86.01W
wavesensor;2016;6;WMO42040;20160601T0000;20160630T2300;29.21N;88.21W
wavesensor;2016;6;WMO42055;20160601T0000;20160630T2300;22.20N;94.00W
wavesensor;2016;6;WMO42056;20160601T0000;20160630T2300;19.80N;84.86W
wavesensor;2016;6;WMO42057;20160601T0000;20160630T2300;17.00N;81.50W
wavesensor;2016;6;WMO42058;20160601T0000;20160630T2300;14.92N;74.92W
wavesensor;2016;6;WMO42059;20160601T0000;20160630T2300;15.18N;67.56W
wavesensor;2016;6;WMO42060;20160601T0000;20160630T2300;16.33N;63.24W
wavesensor;2016;6;WMO44005;20160601T0000;20160630T2300;43.20N;69.13W
wavesensor;2016;6;WMO44007;20160601T0000;20160630T2300;43.53N;70.14W
wavesensor;2016;6;WMO44008;20160601T0000;20160630T2300;40.50N;69.25W
wavesensor;2016;6;WMO44009;20160601T0000;20160630T2300;38.46N;74.70W
wavesensor;2016;6;WMO44011;20160601T0000;20160630T2300;41.10N;66.62W
wavesensor;2016;6;WMO44013;20160601T0000;20160630T2300;42.35N;70.65W
wavesensor;2016;6;WMO44014;20160601T0000;20160630T2300;36.61N;74.84W
wavesensor;2016;6;WMO44017;20160601T0000;20160630T2300;40.69N;72.05W
wavesensor;2016;6;WMO44018;20160601T0000;20160630T2300;42.14N;69.71W
wavesensor;2016;6;WMO44020;20160601T0000;20160630T2300;41.44N;70.19W
wavesensor;2016;6;WMO44025;20160601T0000;20160630T2300;40.25N;73.16W
wavesensor;2016;6;WMO44027;20160601T0000;20160630T2300;44.29N;67.31W
wavesensor;2016;6;WMO44065;20160601T0000;20160630T2300;40.37N;73.70W
wavesensor;2016;6;WMO44066;20160601T0000;20160630T2300;39.57N;72.59W
wavesensor;2016;6;WMO45001;20160601T0000;20160630T2300;48.06N;87.79W
wavesensor;2016;6;WMO45002;20160601T0000;20160630T2300;45.34N;86.41W
wavesensor;2016;6;WMO45003;20160601T0000;20160630T2300;45.35N;82.84W
wavesensor;2016;6;WMO45004;20160601T0000;20160630T2300;47.58N;86.58W
wavesensor;2016;6;WMO45005;20160601T0000;20160630T2300;41.68N;82.40W
wavesensor;2016;6;WMO45006;20160601T0000;20160630T2300;47.33N;89.79W
wavesensor;2016;6;WMO45007;20160601T0000;20160630T2300;42.67N;87.03W
wavesensor;2016;6;WMO45008;20160601T0000;20160630T2300;44.28N;82.42W
wavesensor;2016;6;WMO45012;20160601T0000;20160630T2300;43.62N;77.41W
wavesensor;2016;6;WMO46001;20160601T0000;20160630T2300;56.30N;147.92W
wavesensor;2016;6;WMO46002;20160601T0000;20160630T2300;42.61N;130.49W
wavesensor;2016;6;WMO46005;20160601T0000;20160630T2300;45.96N;131.00W
wavesensor;2016;6;WMO46006;20160618T1100;20160630T2300;40.78N;137.40W
wavesensor;2016;6;WMO46011;20160601T0000;20160630T2300;34.96N;121.02W
wavesensor;2016;6;WMO46012;20160601T0000;20160630T2300;37.36N;122.88W
wavesensor;2016;6;WMO46013;20160601T0000;20160630T2300;38.24N;123.30W
wavesensor;2016;6;WMO46014;20160601T0000;20160630T2300;39.24N;123.97W
wavesensor;2016;6;WMO46015;20160601T0000;20160630T2300;42.76N;124.83W
wavesensor;2016;6;WMO46022;20160601T0000;20160630T2300;40.72N;124.53W
wavesensor;2016;6;WMO46025;20160601T0000;20160630T2300;33.75N;119.05W
wavesensor;2016;6;WMO46026;20160601T0000;20160630T2300;37.76N;122.84W
wavesensor;2016;6;WMO46027;20160601T0000;20160630T2300;41.85N;124.38W
wavesensor;2016;6;WMO46028;20160601T0000;20160630T2300;35.71N;121.86W
wavesensor;2016;6;WMO46029;20160601T0000;20160630T2300;46.16N;124.51W
